year,1,,,,,,,,,year,1,,,,,,,
,,,,,,,,,,,,,,,,,,
Sum of registered,Column Labels,,,,,,,,,Sum of casual,Column Labels,,,,,,,
Row Labels,0,1,2,3,4,5,6,Grand Total,,Row Labels,0,1,2,3,4,5,6,Grand Total
0,4842,1449,1360,1944,2082,2757,5204,19638,,0,1054,433,266,343,423,579,854,3952
1,4054,664,558,847,828,1286,3731,11968,,1,964,200,145,184,224,299,622,2638
2,3084,398,292,424,429,576,2646,7849,,2,748,142,69,102,138,162,481,1842
3,1469,201,178,270,243,326,1107,3794,,3,440,42,23,35,36,86,277,939
4,458,275,256,255,280,304,340,2168,,4,139,48,24,30,31,41,130,443
5,421,1362,1472,1709,1650,1491,415,8520,,5,103,77,71,85,82,77,89,584
6,742,5208,6360,6855,6758,5638,1130,32691,,6,198,210,225,268,252,239,248,1640
7,1598,15398,17776,19913,19603,16116,2568,92972,,7,545,549,607,720,735,629,484,4269
8,4311,25740,28690,31320,31135,29036,6510,156742,,8,1238,1217,1131,1350,1260,1367,1229,8792
9,7231,12331,13727,14284,14058,15050,9677,86358,,9,2842,1683,1350,1460,1514,1768,2977,13594
10,11418,6216,6259,7013,6662,7903,12551,58022,,10,5084,2421,1821,1835,1970,2476,5117,20724
11,13362,7286,7313,7876,7912,9192,15077,68018,,11,6669,2918,2151,2304,2451,3107,7104,26704
12,16000,9924,9469,10516,10519,11856,16220,84504,,12,7734,3085,2358,2503,2520,3783,8729,30712
13,15475,9629,9509,9964,10178,11976,16288,83019,,13,8022,3290,2437,2551,2735,3892,9634,32561
14,14628,8818,8231,8666,8657,10704,15474,75178,,14,8311,3334,2525,2761,2826,4309,9926,33992
15,14249,9660,9467,9841,10110,12274,15215,80816,,15,8086,3261,2540,2612,3017,4334,9893,33743
16,15041,14697,15857,15417,16199,17398,14422,109031,,16,7371,3281,2863,2868,3081,4294,9337,33095
17,13872,27995,31614,30248,31611,27526,13615,176481,,17,6342,3345,3414,3372,3793,4353,8128,32747
18,12293,27279,30138,29569,30495,23916,12667,166357,,18,4833,2911,3040,3009,3460,3456,5721,26430
19,10211,19249,20408,20902,21455,17062,10720,120007,,19,3739,2349,2301,2571,2785,2857,4378,20980
20,7941,13351,14295,15074,15729,11683,8241,86314,,20,2566,1725,1739,2050,2136,2230,2972,15418
21,5959,9402,10130,11377,11470,9111,7396,64845,,21,1929,1216,1268,1617,1537,1766,2392,11725
22,4488,6018,7295,8267,8287,7721,6690,48766,,22,1200,936,869,1261,1207,1590,2106,9169
23,2888,3508,4263,4669,5473,6097,5855,32753,,23,761,551,617,768,807,1091,1477,6072
Grand Total,186035,236058,254917,267220,271823,256999,203759,1676811,,Grand Total,80918,39224,33854,36659,39020,48785,94305,372765
